productId;languageId;syncId;productName;productListerDescription;productShortDescription;productLongDescription
TEST_PROPULSION;fr;1743;;Rashguard L / s - Le tissu 30 UPF de notre Rashguard à manches longues empêche le soleil de grésiller votre peau;Rashguard L / s - Le tissu 30 UPF de notre Rashguard à manches longues empêche le soleil de grésiller votre peau; Fabriqué à partir d'un mélange durable et protecteur de 84% polyester entièrement recyclé / 16% élasthanne. Avec soufflets sous les bras sans coutures et construction sans frottement. Le cordon de serrage à l'avant permet de fixer le short de planche. <br> <br> <b>Détails:</b> <ul> <li> Le rashguard en polyester recyclé (100%) a une protection solaire 30 UPF </li> <li > Le faux col roulé protège le cou du soleil et se renverse pour se protéger de la fermeture éclair de la combinaison de plongée </li> <li> Les soufflets sans couture aux aisselles et la construction à coutures plates évitent les frottements </li> <li> La boucle automatique à l'ourlet avant permet de fixer le short < / li> <li> Graphique poisson volant (uniquement sur le brouillard) </li> </ul> <br> <br> <b> Tissu: </b> 5\,8 oz 84% polyester entièrement recyclé / 16% spandex <br> <br> <b> Poids: </b> (187 g 6\,5 oz) <br> <br> Fabriqué aux États-Unis.
A&A1;fr;1743;;Chemise de pilote L / s - Ce n'est pas une chemise de ville\, sauf si vous êtes à Manille;Chemise de pilote L / s - Ce n'est pas une chemise de ville\, sauf si vous êtes à Manille; Le Steersman est déterré à la main dans un tissu ultra léger 100% coton biologique avec un pli crêpé qui se soulève de la peau pour favoriser le refroidissement. Les détails comprennent deux poches poitrine avec fermetures à rabat boutonné\, des poignets à deux boutons et une légère taille à l'arrière. Recyclable grâce au programme de recyclage des fils communs. <br> <br> <b>Détails:</b> <ul> <li> Le froissement semblable à une crêpe du tissu en coton bio éloigne le tissu de la peau </li> <li> Deux poitrines poches avec fermeture à rabat boutonné </li> <li> Coutures renforcées à double aiguille
WGN_0001;nl;1743;;Lw-enkelsokken met lange levensduur - Fast-forward achtervolgingen\, zoals over een dag de White Rim rijden\, hebben kilometers inspiratie gevolgd door momenten van twijfel;Lw-enkelsokken met lange levensduur - Fast-forward achtervolgingen\, zoals over een dag de White Rim rijden\, hebben kilometers inspiratie gevolgd door momenten van twijfel; Je voeten blijven tenminste constant koel met de luchtige prestaties van deze duursokken. Gemaakt van verschillende vezels die zijn geconstrueerd om gewichtloos aan te voelen\, voegen ze 40% merinowol (chloorvrij) samen voor comfort en kussen\, 25% Coolmax / 20% nylon / 12% polyester voor duurzaamheid en vochtbeheer en 3% spandex voor stretch en herstel. Het volledige kanaalkanaal van merinowol onder de voet zorgt voor superieure demping voor hiel en tenen\, evenals luchtstroom voor de boog. De lusvormige Lintoe zorgt voor schuurvrij teencomfort. Hoogte is 3. <br> <br> <b> Details :</b> <ul> <li> Lichtgewicht\, wolmix strategisch gebreid voor uitstekend ademend vermogen en vochtafvoer </li> <li> Volledige kanaalconstructie onder de hele voet biedt de meeste demping met de minste massa </li> <li> Lusconstructie met lus zorgt voor de kleinst en platste naad mogelijk voor ultiem teencomfort </li> <li> Flex zones bij teen voor comfort en om ophoping te voorkomen < / li> </ul> <br> <br> <b> Stof: </b> 40% chloorvrije merinowol / 25% Coolmax / 20% nylon / 12% polyester / 3% spandex <br> <br > <b> Gewicht: </b> (28 g 1 oz) <br> <br> Gemaakt in de VS.
WGN_0002;fr;1743;;Chaussettes Lw Endurance Quarter - Grattées\, scellées ou enflammées\, nos chevilles souffrent dans les pays difficiles;Chaussettes Lw Endurance Quarter - Grattées\, scellées ou enflammées\, nos chevilles souffrent dans les pays difficiles; Ces chaussettes d'endurance sont conçues pour des kilomètres de terrain abusif\, avec une coupe au-dessus de la cheville pour frustrer les broussailles et la bruyère. Mince et léger\, il présente une construction en tricot de laine mérinos feutrée pour un amorti maximal avec le moins de volume. Un tricot ouvert sur le dessus du pied augmente la respirabilité
WGN_0001;fr;1743;;Chaussettes courtes Lw endurance - Les activités d'avance rapide\, comme monter la White Rim en une journée\, ont des kilomètres d'inspiration suivies de moments de doute;Chaussettes courtes Lw endurance - Les activités d'avance rapide\, comme monter la White Rim en une journée\, ont des kilomètres d'inspiration suivies de moments de doute; Au moins\, vos pieds resteront toujours au frais avec les performances aérées de ces chaussettes d'endurance. Fabriquées à partir de plusieurs fibres conçues pour être légères\, elles fusionnent 40% laine mérinos (sans chlore) pour le confort et l'amorti\, 25% Coolmax / 20% nylon / 12% polyester pour la durabilité et la gestion de l'humidité et 3% élasthanne pour l'élasticité et récupération. La maille en laine mérinos pleine sous le pied crée un amorti supérieur pour le talon et les orteils\, ainsi qu'un flux d'air pour la voûte plantaire. Le Lintoe en boucle assure un confort des orteils sans frottement. La hauteur est de 3. <br> <br> <b>Détails:</b> <ul> <li> Mélange de laine léger et stratégiquement tricoté pour une excellente respirabilité et évacuation de la transpiration </li> <li> Construction en tricot à canaux sous le pied entier offre le plus d'amorti avec le moins de volume </li> <li> La construction Looped Lintoe crée la couture la plus petite et la plus plate possible pour un confort ultime des orteils </li> <li> Zones flexibles au niveau des orteils pour plus de confort et pour éviter le regroupement < / li> </ul> <br> <br> <b> Tissu: </b> 40% laine mérinos sans chlore / 25% Coolmax / 20% nylon / 12% polyester / 3% élasthanne <br> <br > <b> Poids: </b> (28 g 1 oz) <br> <br> Fabriqué aux États-Unis.
WGN_0003;nl;1743;;Lw wandelschoenen sokken - Net als suites voor je voeten\, zijn deze koel en ademende\, multifunctionele sokken voorzien van een variabel gebreide\, gevilte merinowolconstructie onder de voet om warmte af te voeren en harde stoten te dempen;Lw wandelschoenen sokken - Net als suites voor je voeten\, zijn deze koel en ademende\, multifunctionele sokken voorzien van een variabel gebreide\, gevilte merinowolconstructie onder de voet om warmte af te voeren en harde stoten te dempen; De rand is nauwsluitend om uitglijden te verminderen
WGN_0002;nl;1743;;Lw sokken uithoudingsvermogen - Geschraapt\, afgeplakt of ontstoken lijden onze enkels in een ruig land;Lw sokken uithoudingsvermogen - Geschraapt\, afgeplakt of ontstoken lijden onze enkels in een ruig land; Deze duursokken zijn gemaakt voor kilometers ruw terrein\, met een over-the-fit pasvorm om borstel en briar te frustreren. Ze zijn dun en licht van gewicht en hebben een vilten kanaalstructuur van merinowol voor maximale demping met het minste volume. Een open gebreide bovenkant van de voet verhoogt het ademend vermogen
WGN_0004;nl;1743;;Lw r4 jkt - Hoog van het dek op Warbonnet Peak in de smetteloze Wind River Mountains\, is de naamgeving van het bereik snel logisch;Lw r4 jkt - Hoog van het dek op Warbonnet Peak in de smetteloze Wind River Mountains\, is de naamgeving van het bereik snel logisch; Ons winddichte en rekbare lichtgewicht R4-jack beschermt en verwarmt met een Polartec Windbloc-laminaat\, ingeklemd tussen een laag nap-polyester microfleece-oppervlak en een hoog / laag rooster-polyester interieur. Niet-gelamineerde R1-onderarmpanelen (60% gerecycled polyester) verbeteren het ademend vermogen en de mobiliteit\, terwijl een nekpakking de elementen afdicht. Naadloze schouders zorgen voor draagcomfort. Met drie externe zakken (de handwarmers blijven vrij van je harnas)\, twee interne drop-in zakken en een trekkoord in zoom. Recyclebaar via het Common Threads Recycling-programma. <br> <br> <b>Details :</b> <ul> <li> Lichtgewicht\, duurzaam microfleece-oppervlak met lage nap </li> <li> Polartec Windbloc-laminaat met volledige rekbaarheid </li> <li> R1 interieur-rasterconstructie versnelt het opnemen </li> <li> Niet-gelamineerd R1-materiaal (gemaakt van gerecycled polyester) onder de armen verbetert mobiliteit en ademend vermogen </li> <li> Trekkoordkraag met Supplex-standaard\, beschermende kinflap voor comfort\, naadloze schouders voor comfort onder een pak </li> <li> Zakken: borst met ritssluiting en handwarmers met ritssluiting boven harnaslijn
P100901;nl;1743;;Lw travel duffel - Deze zwerftas is groot genoeg om de inhoud van je leven te bevatten zonder in de weg te zitten;Lw travel duffel - Deze zwerftas is groot genoeg om de inhoud van je leven te bevatten zonder in de weg te zitten; Een grote toegang met ritssluiting tot het ruime hoofdcompartiment maakt het gemakkelijk om een paar benodigdheden in te doen of maximaal te vullen. Een buitenvak met rits organiseert kleine items
GAT102;fr;1743;;Lw travel pack - Dans la recherche permanente d'un chez-soi\, nous passons tous du temps sur la route;Lw travel pack - Dans la recherche permanente d'un chez-soi\, nous passons tous du temps sur la route; Ce sac à dos de voyage ultra-léger contient tout ce dont vous avez besoin pour des voyages en voiture\, des randonnées ou pour parcourir le marché\, et il se range dans sa propre poche. Le compartiment principal utilise une simple fermeture à cordon pour garder le matériel en sécurité et bien serré. Il y a aussi une poche zippée sur le couvercle pour un accès rapide aux petits objets. Les poches extérieures en filet contiennent des bouteilles\, une coque\, des gants\, etc. Des bretelles respirantes et une ceinture en sangle répartissent la charge et vous gardent à l'aise. Le coussin arrière en mousse légère peut être retiré pour être utilisé comme coussin d'assise. Fabriqué à partir de nylon triple déchirure résistant et extrêmement léger de 50 deniers avec un revêtement en polyuréthane et une finition DWR (hydrofuge durable). Renforcé en polyester 150 deniers (recyclé à 47%) ShiftLayer à double tissage. <br> <br> <b>Détails:</b> <ul> <li> Poche principale avec cordon de serrage pour garder le matériel en sécurité et sécurisé </ li> <li> La poche du couvercle organise vos petits objets pour un accès facile </li> <li> Les poches extérieures en filet contiennent les bouteilles\, la coque\, etc. </li> <li> Les bretelles respirantes et la ceinture en sangle </li> <li> Le dossier peut être retiré pour être utilisé comme coussin de siège </li> </ul> <br> <br> <b> Tissu: </b> triple ripstop 100% nylon 50 deniers avec revêtement en polyuréthane et DWR (durable hydrofuge) finition. Renforts: ShiftLayer double tissage 150 deniers 100% polyester (47% recyclé) <br> <br> <b> Poids: </b> (372 g 12\,9 oz) <br> <br> Fabriqué aux Philippines.
